source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
117;EW-QT-0117;heated-holding-cabinet-0117;active;كابينة حفظ وتسخين الطعام;Heated Holding Cabinet;البوفيهات والعرض;buffet-display;حفظ وتسخين الطعام;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;هوت كابن سخان دولاب من ELITE WORLD من الفولاذ المقاوم للصدأ و درجة حرارة تصل الي 80 درجة مئوية سعة 11 رف للتسخين -VOLTAGE:220V -POWER:2.52KW MADE IN CHINA;هوت كابن سخان دولاب من ELITE WORLD من الفولاذ المقاوم للصدأ و درجة حرارة تصل الي 80 درجة مئوية سعة 11 رف للتسخين -VOLTAGE:220V -POWER:2.52KW MADE IN CHINA;غير مذكور;220V ;غير مذكور;غير مذكور;2.52KW;11;;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0117.jpeg;EW-QT-0117.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
118;EW-QT-0118;stone-pizza-oven-2-burner-0118;active;فرن بيتزا حجري 2 شعلة;Stone Pizza Oven, 2 Burner;معدات المخابز;bakery-equipment;أفران البيتزا;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن حجري يعمل بالغاز 2 شعلة أرضية حجر بازلتي المقاسات والابعاد : المقاس الخارجي 120X120X170 مقاس ارض العمل الداخلية 105X76 مقاس الباب 70 وحدة القياس المستخدمة (CM) MADE IN KSA BY ALKAYAN FACTORY;فرن حجري يعمل بالغاز 2 شعلة أرضية حجر بازلتي المقاسات والابعاد : المقاس الخارجي 120X120X170 مقاس ارض العمل الداخلية 105X76 مقاس الباب 70 وحدة القياس المستخدمة (CM) MADE IN KSA BY ALKAYAN FACTORY;120X120X170 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0118.jpeg;EW-QT-0118.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
119;EW-QT-0119;commercial-gas-range-6-burner-0119;active;موقد غاز تجاري 6 شعلة - 93 سم;Commercial Gas Range, 6 Burner;معدات الطبخ;cooking-equipment;المواقد;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;موقد ستانلس كهرباء 6 شعلات مع فرن سفلي S/STEEL 6 BURNER RANGE -volts:380v/3n -power:28.8kw -Temperature:50-300c -size:120x90x93cm من elite world Made in china;موقد ستانلس كهرباء 6 شعلات مع فرن سفلي S/STEEL 6 BURNER RANGE -volts:380v/3n -power:28.8kw -Temperature:50-300c -size:120x90x93cm من elite world Made in china;120x90x93cm;380v/3n;غير مذكور;3n;28.8kw;غير مذكور;50-300c ;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0119.jpeg;EW-QT-0119.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
120;EW-QT-0120;rotary-rack-oven-18-trays-0120;active;فرن دوار 18 صواني;Rotary Rack Oven, 18 Trays;معدات المخابز;bakery-equipment;الأفران الدوارة;Danziforni;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن دوار من Danzifrni يعمل بالديزل سعة18 صينية مقاس 60X80 مزود ب 2 ترولي لوحة تحكم رقمية لوقت الخبز و البخار و الحرارة طاقة كهربائية 52.5KW 380V - 3N MADE IN ITALY;فرن دوار من Danzifrni يعمل بالديزل سعة18 صينية مقاس 60X80 مزود ب 2 ترولي لوحة تحكم رقمية لوقت الخبز و البخار و الحرارة طاقة كهربائية 52.5KW 380V - 3N MADE IN ITALY;60X80 ;380V;غير مذكور;3N;52.5KW;18 صينية; ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0120-1.jpeg;EW-QT-0120.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;EW-QT-0120-2.jpeg|EW-QT-0120-3.jpeg|EW-QT-0120-4.jpeg|EW-QT-0120-5.jpeg|EW-QT-0120-6.jpeg|EW-QT-0120-7.jpeg;7
121;EW-QT-0121;bread-slicer-yb-31-0121;active;قطاعة خبز توست 66 سم;Bread Slicer YB-31;معدات المخابز;bakery-equipment;تقطيع الخبز;غير مذكور;YB-31;الصين;قطعة;1;4000;fixed;غير محدد;غير مذكور;قطاعة خبز التوست من الفولاذ المقاوم للصدأ -MODEL:YB-31 -VOLTAGE:220V/60HZ -POWER:370W -BLADE Qty:31 -SLICE Width:12mm -Dimension:56x68x66cm MADE IN CHINA;قطاعة خبز التوست من الفولاذ المقاوم للصدأ -MODEL:YB-31 -VOLTAGE:220V/60HZ -POWER:370W -BLADE Qty:31 -SLICE Width:12mm -Dimension:56x68x66cm MADE IN CHINA;56x68x66cm;220V/60;60HZ;غير مذكور;370W;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0121.jpeg;EW-QT-0121.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;العلامة التجارية غير مذكورة;;1
122;EW-QT-0122;commercial-gas-fryer-0122;active;قلاية غاز تجارية;Commercial Gas Fryer;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;الصين;قطعة;1;12000;fixed;غير محدد;غير مذكور;ماكينة بروستد تعمل بالغاز قلاية ضغط, يحكم غلق الغطاء حتى يصل الضغط إلى 1 رطل, لوحة تحكم رقمية قابل للبرمجة لـ 10 دورات طهي مختلفة، فلتر تكرير الزيت وإعادة ضخه في وعاء القلى اتوماتيكياً، يطبخ 6 قطع من الدجاج الطازج في أقل من 10 دقائق ، وعاء قلي مستطيل من الفولا…;ماكينة بروستد تعمل بالغاز قلاية ضغط, يحكم غلق الغطاء حتى يصل الضغط إلى 1 رطل, لوحة تحكم رقمية قابل للبرمجة لـ 10 دورات طهي مختلفة، فلتر تكرير الزيت وإعادة ضخه في وعاء القلى اتوماتيكياً، يطبخ 6 قطع من الدجاج الطازج في أقل من 10 دقائق ، وعاء قلي مستطيل من الفولاذ المقاوم للصدأ شديد التحمل ، خزانة من الفولاذ المقاوم للصدأ لسهولة التنظيف وعمر طويل، و 4 عجلات بقفلين, صناعة صيني MADE IN CHINA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0122.jpeg;EW-QT-0122.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور;;1
123;EW-QT-0123;commercial-electric-fryer-13-l-1-burner-0123;active;قلاية كهربائية 13 لتر - 1 شعلة;Commercial Electric Fryer, 13 L, 1 Burner;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;الصين;قطعة;1;800;fixed;غير محدد;غير مذكور;قلاية بطاطس 1 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw -voltage:220v/60hz Capacity:13 lit Made in china;قلاية بطاطس 1 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw -voltage:220v/60hz Capacity:13 lit Made in china;غير مذكور;220v/60;60hz;غير مذكور;4.5kw;13 lit;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0123.jpeg;EW-QT-0123.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور;;1
124;EW-QT-0124;heated-holding-cabinet-0124;active;كابينة حفظ وتسخين الطعام;Heated Holding Cabinet;البوفيهات والعرض;buffet-display;حفظ وتسخين الطعام;Öztiryakiler;غير مذكور;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;Banquet trolle duuble door كبينة تسخين طعام بابين متنقلة تركي من ozti مع باب مزدوج من الاينوكس ,مع اداة تحكم رقمية المتوافقه تماما مع نظام تحليل المخاطر ونقطة التحكم D , 1816 X 910 X 1519 Mm 220v 60hz NET KG 189,00 GROSS KKG 205 MADE IN TURKEY;Banquet trolle duuble door كبينة تسخين طعام بابين متنقلة تركي من ozti مع باب مزدوج من الاينوكس ,مع اداة تحكم رقمية المتوافقه تماما مع نظام تحليل المخاطر ونقطة التحكم D , 1816 X 910 X 1519 Mm 220v 60hz NET KG 189,00 GROSS KKG 205 MADE IN TURKEY;1816 X 910 X 1519 Mm;220v;60hz;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0124.jpeg;EW-QT-0124.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
125;EW-QT-0125;vegetable-cutter-0125;active;قطاعة خضروات;Vegetable Cutter;معدات التحضير;food-preparation;قطاعات الخضار;Edlund;غير مذكور;الولايات المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;قطاعة خضروات لشرائح من EDLUND -من الفولاذ المقاوم للصدأ - شفرات 1/4 بوصة MADE IN USA;قطاعة خضروات لشرائح من EDLUND -من الفولاذ المقاوم للصدأ - شفرات 1/4 بوصة MADE IN USA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0125.jpeg;EW-QT-0125.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
126;EW-QT-0126;commercial-hand-blender-0126;active;خلاط يدوي احترافي;Commercial Hand Blender;معدات التحضير;food-preparation;الخلاطات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;خلاط يدوي احترافي -voltage:220v -power:550w -speed: 3000:16000 MADE IN CHINA;خلاط يدوي احترافي -voltage:220v -power:550w -speed: 3000:16000 MADE IN CHINA;غير مذكور;220v ;غير مذكور;غير مذكور;550w;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0126.jpeg;EW-QT-0126.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
127;EW-QT-0127;soft-ice-cream-machine-20-l-0127;active;ماكينة آيس كريم 20 لتر - 138 سم;Soft Ice Cream Machine, 20 L;معدات الكافيهات;cafe-equipment;ماكينات الآيس كريم;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة ايس كريم بثلاث نكهات -بهكيل من الفولاذ المقاوم للصدأ -شاشة ديجتال توضح درجة التجميد -سعة إنتاجية 20لتر/ الساعة -طاقة كهربائية:220v/60hz/1n -قوة : 1900w -مقاس : 54x75x138cm MADE IN CHINA;ماكينة ايس كريم بثلاث نكهات -بهكيل من الفولاذ المقاوم للصدأ -شاشة ديجتال توضح درجة التجميد -سعة إنتاجية 20لتر/ الساعة -طاقة كهربائية:220v/60hz/1n -قوة : 1900w -مقاس : 54x75x138cm MADE IN CHINA;54x75x138cm;220v/60hz;60hz;1n;1900w;20لتر;غير مذكور;20لتر/ الساعة;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0127.jpeg;EW-QT-0127.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
128;EW-QT-0128;undercounter-refrigerator-360-l-2-door-0128;active;ثلاجة تحت الطاولة 360 لتر - 2 باب;Undercounter Refrigerator, 360 L, 2 Door;التبريد والتجميد;refrigeration;ثلاجات تحت الطاولة;Foster;غير مذكور;المملكة المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة اندر كونتر 2 باب زجاج من Foster -سعة :360lit -إزالة الثلج تلقائيا -من الفولاذ المقاوم للصدأ - اقفال للامان -مقاس :121.7x78x82.4 MADE IN UK;ثلاجة اندر كونتر 2 باب زجاج من Foster -سعة :360lit -إزالة الثلج تلقائيا -من الفولاذ المقاوم للصدأ - اقفال للامان -مقاس :121.7x78x82.4 MADE IN UK;121.7x78x82.4 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;360lit;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0128.jpeg;EW-QT-0128.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
129;EW-QT-0129;commercial-electric-oven-20-trays-0129;active;فرن كهربائي تجاري 20 صواني;Commercial Electric Oven, 20 Trays;معدات المخابز;bakery-equipment;الأفران الكهربائية;Venix;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن كهربائي من VENIX سعة20 صينية مقاس 1/1GN • Dimensions: 1091x1183x1900mm • Power: 43,5kW/380V/3N/60Hz • Space between trays 67mm • Capacity: 20 x 2/1 GN or 40 1/1 GN • Bi-directional reversing fan system • Temperature 60-260°C • Convection and direct steam •…;فرن كهربائي من VENIX سعة20 صينية مقاس 1/1GN • Dimensions: 1091x1183x1900mm • Power: 43,5kW/380V/3N/60Hz • Space between trays 67mm • Capacity: 20 x 2/1 GN or 40 1/1 GN • Bi-directional reversing fan system • Temperature 60-260°C • Convection and direct steam • Mechanical timer 0-120 • Weight: 322kg MADE IN ITALY;1/1;380V/3N;60Hz;3N;43,5kW;20 صينية; ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0129.jpeg;EW-QT-0129.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
130;EW-QT-0130;waffle-maker-0130;active;ماكينة وافل;Waffle Maker;معدات المخابز;bakery-equipment;معدات الحلويات;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة عمل الوافل Exterior body is made of stainless steel Mold plate is made of high-grade aluminum with Teflon coated non-stick surface Overall double-sided constant temperature heating guarantees the perfect color of each lolly stick waffle Makes 4 wheat sh…;ماكينة عمل الوافل Exterior body is made of stainless steel Mold plate is made of high-grade aluminum with Teflon coated non-stick surface Overall double-sided constant temperature heating guarantees the perfect color of each lolly stick waffle Makes 4 wheat shaped waffles Adjustable thermostat (50-300 C) Power on/off button make usage of the machine very effortless Dimensions (mm): 410 W x 305 D x 240 H;غير مذكور;غير مذكور;غير مذكور;غير مذكور;410 W;غير مذكور;;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0130.jpeg;EW-QT-0130.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
131;EW-QT-0131;commercial-electric-fryer-13-l-2-burner-0131;active;قلاية كهربائية 13 لتر - 2 شعلة;Commercial Electric Fryer, 13 L, 2 Burner;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية بطاطس 2 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw+4.5KW -voltage:220v/60hz Capacity:13+13 lit Made in china;قلاية بطاطس 2 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw+4.5KW -voltage:220v/60hz Capacity:13+13 lit Made in china;غير مذكور;220v/60;60hz;غير مذكور;4.5kw;13+13 lit;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0131.jpeg;EW-QT-0131.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
132;EW-QT-0132;lava-rock-grill-0132;active;جريل حجر بركاني;Lava Rock Grill;معدات الطبخ;cooking-equipment;الجريلات;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;مشوى فحم مع خزانة لتسخين الفحم ستانلس ستيل 100 سم -عربة فحم ستانلس ستيل - عربة للاسياخ MADE IN KSA BY ALKAYAN FACTORY;مشوى فحم مع خزانة لتسخين الفحم ستانلس ستيل 100 سم -عربة فحم ستانلس ستيل - عربة للاسياخ MADE IN KSA BY ALKAYAN FACTORY;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0132.jpeg;EW-QT-0132.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
133;EW-QT-0133;counter-refrigerator-2-door-0133;active;ثلاجة كاونتر 2 باب - 90 سم;Counter Refrigerator, 2 Door;التبريد والتجميد;refrigeration;ثلاجات الكاونتر;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة كاونتر 2 باب من لفولاذ القماوم للصدأ مقاس 150x70x90 cm من alkayan factory U/C 2 DOOR CHILLER :درجة التبريد (+5~+8م°) الطاقة: 330 واط سُمك ستيل: الهيكل 0.8 ملم :التيار 2.8أمبير التردد: 60 هرتز إستهلاك الطاقة: 220 فولت فريون: R 134a قواعد: عجلات;ثلاجة كاونتر 2 باب من لفولاذ القماوم للصدأ مقاس 150x70x90 cm من alkayan factory U/C 2 DOOR CHILLER :درجة التبريد (+5~+8م°) الطاقة: 330 واط سُمك ستيل: الهيكل 0.8 ملم :التيار 2.8أمبير التردد: 60 هرتز إستهلاك الطاقة: 220 فولت فريون: R 134a قواعد: عجلات;150x70x90 cm;غير مذكور;60 هرتز;غير مذكور;330 واط;غير مذكور;;غير مذكور;غير مذكور;غير مذكور;EW-QT-0133.jpeg;EW-QT-0133.pdf;;sku, slug, name_en, category, subcategory, unit, quantity, country_of_origin;متوسط;بلد المنشأ مستنتج من اسم المصنع ويحتاج تأكيد؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
134;EW-QT-0134;commercial-electric-fryer-0134;active;قلاية كهربائية 90 سم;Commercial Electric Fryer;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية فلافل ستانلس ستيل مقاس 100X70X90CM;قلاية فلافل ستانلس ستيل مقاس 100X70X90CM;100X70X90CM;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0134.jpeg;EW-QT-0134.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
135;EW-QT-0135;saladette-refrigerator-3-door-0135;active;ثلاجة تحضير مقبلات 3 باب - 90 سم;Saladette Refrigerator, 3 Door;التبريد والتجميد;refrigeration;ثلاجات التحضير;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة مقبلات 3 باب من لفولاذ المقاوم للصدأ مقاس 180x70x90 cm من alkayan factory نظام تبريد بالمروحة الأبواب 3- أبواب مفصلية طول 180 سم عمق 70 سم ارتفاع 90+20 سم درجة حرارة التبريد (+5~+8 درجة مئوية);ثلاجة مقبلات 3 باب من لفولاذ المقاوم للصدأ مقاس 180x70x90 cm من alkayan factory نظام تبريد بالمروحة الأبواب 3- أبواب مفصلية طول 180 سم عمق 70 سم ارتفاع 90+20 سم درجة حرارة التبريد (+5~+8 درجة مئوية);180x70x90 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;;غير مذكور;غير مذكور;غير مذكور;EW-QT-0135.jpeg;EW-QT-0135.pdf;;sku, slug, name_en, category, subcategory, unit, quantity, country_of_origin;متوسط;بلد المنشأ مستنتج من اسم المصنع ويحتاج تأكيد؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
136;EW-QT-0136;cake-display-refrigerator-0136;active;ثلاجة عرض حلويات;Cake Display Refrigerator;التبريد والتجميد;refrigeration;ثلاجات العرض;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عرض حلويات على الطاولة بزجاج ملفوف 90سم النظام تبريد مروحي الأرفف 2-أرفف ألومنيوم نوع الهيكل تيتانيوم أسود درجة التبريد (+2~+8م°) إستهلاك الطاقة 220 فولت الطاقة 350 واط التيار أمبير 2.0 فريون R 134a MADE IN CHINA;ثلاجة عرض حلويات على الطاولة بزجاج ملفوف 90سم النظام تبريد مروحي الأرفف 2-أرفف ألومنيوم نوع الهيكل تيتانيوم أسود درجة التبريد (+2~+8م°) إستهلاك الطاقة 220 فولت الطاقة 350 واط التيار أمبير 2.0 فريون R 134a MADE IN CHINA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;350 واط;غير مذكور;;غير مذكور;غير مذكور;غير مذكور;EW-QT-0136.jpeg;EW-QT-0136.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
137;EW-QT-0137;combi-steam-oven-10-trays-0137;active;فرن كومبي بخار 10 صواني;Combi Steam Oven, 10 Trays;معدات الطبخ;cooking-equipment;أفران الكومبي;غير مذكور;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;سعة10 صينية مقاس 1/1GN This versatile steam combi oven is ideal for gastronomy applications, offering precision cooking for professional kitchens. It features a spacious 10 GN 1/1 capacity, accommodating a variety of dishes simultaneously. The oven measures 12…;سعة10 صينية مقاس 1/1GN This versatile steam combi oven is ideal for gastronomy applications, offering precision cooking for professional kitchens. It features a spacious 10 GN 1/1 capacity, accommodating a variety of dishes simultaneously. The oven measures 1211 mm in height, 937 mm in width, and 827 mm in depth, fitting comfortably in most kitchen spaces. Users can enjoy peace of mind with a 2-year manufacturer warranty, ensuring reliable performance. Proudly made in Italy, this oven reflects high-quality craftsmanship and design. The single-door design simplifies access and operation during busy kitchen hours. Powered by electricity, the oven delivers consistent and efficient cooking results. Its machine position allows for easy integration into existing kitchen setups, optimizing space and workflow. This steam combi oven enhances cooking flexibility, offering multiple methods in one efficient appliance, perfect for baking, steaming, and roasting;1/1;غير مذكور;غير مذكور;غير مذكور;غير مذكور;10 صينية;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0137.jpeg;EW-QT-0137.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
138;EW-QT-0138;pancake-maker-0138;active;ماكينة بان كيك;Pancake Maker;معدات المخابز;bakery-equipment;معدات الحلويات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة صنع بان كيك 50 حبة MADE IN CHINA;ماكينة صنع بان كيك 50 حبة MADE IN CHINA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0138.jpeg;EW-QT-0138.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
139;EW-QT-0139;bain-marie-0139;active;بان ماري;Bain Marie;معدات الطبخ;cooking-equipment;حفظ وتسخين الطعام;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;بان ماري يعمل بالماء مقاس 7 صحون 3/1GN من الفوالذ المقاوم للصدأ صيني;بان ماري يعمل بالماء مقاس 7 صحون 3/1GN من الفوالذ المقاوم للصدأ صيني;7;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0139.jpeg;EW-QT-0139.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
140;EW-QT-0140;display-or-preparation-refrigerator-0140;active;ثلاجة عرض أو تحضير;Display or Preparation Refrigerator;التبريد والتجميد;refrigeration;ثلاجات العرض والتحضير;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثالجة بيتزا 3 أبواب 180 سم الجهد الكهربائي : 220 فولت نطاق درجة الحرارة : 2+ ~ 10+ درجة مئوية : األبعاد العرض : 180 سم االرتفاع : 110 سم العمق : 76 سم MADE IN CHINA;ثالجة بيتزا 3 أبواب 180 سم الجهد الكهربائي : 220 فولت نطاق درجة الحرارة : 2+ ~ 10+ درجة مئوية : األبعاد العرض : 180 سم االرتفاع : 110 سم العمق : 76 سم MADE IN CHINA;غير مذكور;220 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;2+ ~ 10+;غير مذكور;غير مذكور;غير مذكور;EW-QT-0140.jpeg;EW-QT-0140.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
141;EW-QT-0141;sand-coffee-heater-0141;active;سخان قهوة على الرمل;Sand Coffee Heater;معدات الكافيهات;cafe-equipment;سخانات القهوة;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;سخان قهوة علي الرمل بدرجة حرارة تصل الي 250C◦ بهيكل خارجي من الفولاذ المقاوم للصدأ -SIZE:33X41X15.5 -VOLTAGE:220V/60HZ/1N -POWER:1100W MADE IN CHINA;سخان قهوة علي الرمل بدرجة حرارة تصل الي 250C◦ بهيكل خارجي من الفولاذ المقاوم للصدأ -SIZE:33X41X15.5 -VOLTAGE:220V/60HZ/1N -POWER:1100W MADE IN CHINA;33X41X15.5 ;220V/60;60HZ;1N;1100W;غير مذكور;;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0141.jpeg;EW-QT-0141.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
142;EW-QT-0142;pancake-maker-0142;active;ماكينة بان كيك;Pancake Maker;معدات المخابز;bakery-equipment;معدات الحلويات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة صنع بان كيك 25 حبة -SIZE:31X35.5X18.5 -VOLTAGE:220V/60HZ/1N -POWER:900W MADE IN CHINA;ماكينة صنع بان كيك 25 حبة -SIZE:31X35.5X18.5 -VOLTAGE:220V/60HZ/1N -POWER:900W MADE IN CHINA;31X35.5X18.5 ;220V/60;60HZ;1N;900W;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0142.jpeg;EW-QT-0142.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
